Season,Team,Head Coach,Race,Result,Wins,Losses,Ties
1991,New York Giants,Ray Handley,White,Failed to make playoffs,8,8,0
1992,New York Giants,Ray Handley,White,Failed to make playoffs,6,10,0
1994,New York Giants,Dan Reeves,White,Failed to make playoffs,9,7,0
1995,New York Giants,Dan Reeves,White,Failed to make playoffs,5,11,0
1996,New York Giants,Dan Reeves,White,Failed to make playoffs,6,10,0
1998,New York Giants,Jim Fassel,White,Failed to make playoffs,8,8,0
1999,New York Giants,Jim Fassel,White,Failed to make playoffs,7,9,0
2001,New York Giants,Jim Fassel,White,Failed to make playoffs,7,9,0
2003,New York Giants,Jim Fassel,White,Failed to make playoffs,4,12,0
2004,New York Giants,Tom Coughlin,White,Failed to make playoffs,6,10,0
2009,New York Giants,Tom Coughlin,White,Failed to make playoffs,8,8,0
2010,New York Giants,Tom Coughlin,White,Failed to make playoffs,10,6,0
2012,New York Giants,Tom Coughlin,White,Failed to make playoffs,9,7,0
2013,New York Giants,Tom Coughlin,White,Failed to make playoffs,7,9,0
2014,New York Giants,Tom Coughlin,White,Failed to make playoffs,6,10,0
2015,New York Giants,Tom Coughlin,White,Failed to make playoffs,6,10,0
2017,New York Giants,Steve Spagnuolo,White,Failed to make playoffs,3,13,0
2018,New York Giants,Pat Shurmur,White,Failed to make playoffs,5,11,0
2019,New York Giants,Pat Shurmur,White,Failed to make playoffs,4,12,0
1966,New York Jets,Weeb Ewbank,White,Failed to make playoffs,6,6,2
1967,New York Jets,Weeb Ewbank,White,Failed to make playoffs,8,5,1
1970,New York Jets,Weeb Ewbank,White,Failed to make playoffs,4,10,0
1971,New York Jets,Weeb Ewbank,White,Failed to make playoffs,6,8,0
1972,New York Jets,Weeb Ewbank,White,Failed to make playoffs,7,7,0
1973,New York Jets,Weeb Ewbank,White,Failed to make playoffs,4,10,0
1974,New York Jets,Charley Winner,White,Failed to make playoffs,7,7,0
1975,New York Jets,Ken Shipp,White,Failed to make playoffs,3,11,0
1976,New York Jets,Mike Holovak,White,Failed to make playoffs,3,11,0
1977,New York Jets,Walt Michaels,White,Failed to make playoffs,3,11,0
1978,New York Jets,Walt Michaels,White,Failed to make playoffs,8,8,0
1979,New York Jets,Walt Michaels,White,Failed to make playoffs,8,8,0
1980,New York Jets,Walt Michaels,White,Failed to make playoffs,4,12,0
1983,New York Jets,Joe Walton,White,Failed to make playoffs,7,9,0
1984,New York Jets,Joe Walton,White,Failed to make playoffs,7,9,0
1987,New York Jets,Joe Walton,White,Failed to make playoffs,6,9,0
1988,New York Jets,Joe Walton,White,Failed to make playoffs,8,7,1
1989,New York Jets,Joe Walton,White,Failed to make playoffs,4,12,0
1990,New York Jets,Bruce Coslet,White,Failed to make playoffs,6,10,0
1992,New York Jets,Bruce Coslet,White,Failed to make playoffs,4,12,0
1993,New York Jets,Bruce Coslet,White,Failed to make playoffs,8,8,0
1994,New York Jets,Pete Carroll,White,Failed to make playoffs,6,10,0
1995,New York Jets,Rich Kotite,White,Failed to make playoffs,3,13,0
1996,New York Jets,Rich Kotite,White,Failed to make playoffs,1,15,0
1997,New York Jets,Bill Parcells,White,Failed to make playoffs,9,7,0
1999,New York Jets,Bill Parcells,White,Failed to make playoffs,8,8,0
2000,New York Jets,Al Groh,White,Failed to make playoffs,9,7,0
2003,New York Jets,Herm Edwards,Non-White,Failed to make playoffs,6,10,0
2005,New York Jets,Herm Edwards,Non-White,Failed to make playoffs,4,12,0
2007,New York Jets,Eric Mangini,White,Failed to make playoffs,4,12,0
2008,New York Jets,Eric Mangini,White,Failed to make playoffs,9,7,0
2011,New York Jets,Rex Ryan,White,Failed to make playoffs,8,8,0
2012,New York Jets,Rex Ryan,White,Failed to make playoffs,6,10,0
2013,New York Jets,Rex Ryan,White,Failed to make playoffs,8,8,0
2014,New York Jets,Rex Ryan,White,Failed to make playoffs,4,12,0
2015,New York Jets,Todd Bowles,Non-White,Failed to make playoffs,10,6,0
2016,New York Jets,Todd Bowles,Non-White,Failed to make playoffs,5,11,0
2017,New York Jets,Todd Bowles,Non-White,Failed to make playoffs,5,11,0
2018,New York Jets,Todd Bowles,Non-White,Failed to make playoffs,4,12,0
2019,New York Jets,Adam Gase,White,Failed to make playoffs,7,9,0
1970,Tennessee Titans,Wally Lemm,White,Failed to make playoffs,3,10,1
1971,Tennessee Titans,Ed Hughes,White,Failed to make playoffs,4,9,1
1972,Tennessee Titans,Bill Peterson,White,Failed to make playoffs,1,13,0
1973,Tennessee Titans,Bill Peterson,White,Failed to make playoffs,1,13,0
1974,Tennessee Titans,Sid Gillman,White,Failed to make playoffs,7,7,0
1975,Tennessee Titans,Bum Phillips,White,Failed to make playoffs,10,4,0
1976,Tennessee Titans,Bum Phillips,White,Failed to make playoffs,5,9,0
1977,Tennessee Titans,Bum Phillips,White,Failed to make playoffs,8,6,0
1981,Tennessee Titans,Ed Biles,White,Failed to make playoffs,7,9,0
1982,Tennessee Titans,Ed Biles,White,Failed to make playoffs,1,8,0
1983,Tennessee Titans,Ed Biles,White,Failed to make playoffs,2,14,0
1984,Tennessee Titans,Hugh Campbell,White,Failed to make playoffs,3,13,0
1985,Tennessee Titans,Jerry Glanville,White,Failed to make playoffs,5,11,0
1986,Tennessee Titans,Jerry Glanville,White,Failed to make playoffs,5,11,0
1994,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,2,14,0
1995,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,7,9,0
1996,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,8,8,0
1997,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,8,8,0
1998,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,8,8,0
2001,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,7,9,0
2004,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,5,11,0
2005,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,4,12,0
2006,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,8,8,0
2009,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,8,8,0
2010,Tennessee Titans,Jeff Fisher,White,Failed to make playoffs,6,10,0
2011,Tennessee Titans,Mike Munchak,White,Failed to make playoffs,9,7,0
2012,Tennessee Titans,Mike Munchak,White,Failed to make playoffs,6,10,0
2013,Tennessee Titans,Mike Munchak,White,Failed to make playoffs,7,9,0
2014,Tennessee Titans,Ken Whisenhunt,White,Failed to make playoffs,2,14,0
2015,Tennessee Titans,Ken Whisenhunt,White,Failed to make playoffs,3,13,0
2016,Tennessee Titans,Mike Mularkey,White,Failed to make playoffs,9,7,0
2018,Tennessee Titans,Mike Vrabel,White,Failed to make playoffs,9,7,0
1966,Philadelphia Eagles,Joe Kuharich,White,Failed to make playoffs,9,5,0
1967,Philadelphia Eagles,Joe Kuharich,White,Failed to make playoffs,6,7,1
1968,Philadelphia Eagles,Joe Kuharich,White,Failed to make playoffs,2,12,0
1969,Philadelphia Eagles,Jerry Williams,White,Failed to make playoffs,4,9,1
1970,Philadelphia Eagles,Jerry Williams,White,Failed to make playoffs,3,10,1
1971,Philadelphia Eagles,Jerry Williams,White,Failed to make playoffs,6,7,1
1972,Philadelphia Eagles,Ed Khayat,White,Failed to make playoffs,2,11,1
1973,Philadelphia Eagles,Mike McCormack,White,Failed to make playoffs,5,8,1
1974,Philadelphia Eagles,Mike McCormack,White,Failed to make playoffs,7,7,0
1975,Philadelphia Eagles,Mike McCormack,White,Failed to make playoffs,4,10,0
1976,Philadelphia Eagles,Dick Vermeil,White,Failed to make playoffs,4,10,0
1977,Philadelphia Eagles,Dick Vermeil,White,Failed to make playoffs,5,9,0
1982,Philadelphia Eagles,Dick Vermeil,White,Failed to make playoffs,3,6,0
1983,Philadelphia Eagles,Marion Campbell,White,Failed to make playoffs,5,11,0
1984,Philadelphia Eagles,Marion Campbell,White,Failed to make playoffs,6,9,1
1985,Philadelphia Eagles,Fred Bruney,White,Failed to make playoffs,7,9,0
1986,Philadelphia Eagles,Buddy Ryan,White,Failed to make playoffs,5,10,1
1987,Philadelphia Eagles,Buddy Ryan,White,Failed to make playoffs,7,8,0
1991,Philadelphia Eagles,Rich Kotite,White,Failed to make playoffs,10,6,0
1993,Philadelphia Eagles,Rich Kotite,White,Failed to make playoffs,8,8,0
1994,Philadelphia Eagles,Rich Kotite,White,Failed to make playoffs,7,9,0
1997,Philadelphia Eagles,Ray Rhodes,Non-White,Failed to make playoffs,6,9,1
1998,Philadelphia Eagles,Ray Rhodes,Non-White,Failed to make playoffs,3,13,0
1999,Philadelphia Eagles,Andy Reid,White,Failed to make playoffs,5,11,0
2005,Philadelphia Eagles,Andy Reid,White,Failed to make playoffs,6,10,0
2007,Philadelphia Eagles,Andy Reid,White,Failed to make playoffs,8,8,0
2011,Philadelphia Eagles,Andy Reid,White,Failed to make playoffs,8,8,0
2012,Philadelphia Eagles,Andy Reid,White,Failed to make playoffs,4,12,0
2014,Philadelphia Eagles,Chip Kelly,White,Failed to make playoffs,10,6,0
2015,Philadelphia Eagles,Pat Shurmur,White,Failed to make playoffs,7,9,0
2016,Philadelphia Eagles,Doug Pederson,White,Failed to make playoffs,7,9,0
1966,Pittsburgh Steelers,Bill Austin,White,Failed to make playoffs,5,8,1
1967,Pittsburgh Steelers,Bill Austin,White,Failed to make playoffs,4,9,1
1968,Pittsburgh Steelers,Bill Austin,White,Failed to make playoffs,2,11,1
1969,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,1,13,0
1970,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,5,9,0
1971,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,6,8,0
1980,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,9,7,0
1981,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,8,8,0
1985,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,7,9,0
1986,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,6,10,0
1987,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,8,7,0
1988,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,5,11,0
1990,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,9,7,0
1991,Pittsburgh Steelers,Chuck Noll,White,Failed to make playoffs,7,9,0
1998,Pittsburgh Steelers,Bill Cowher,White,Failed to make playoffs,7,9,0
1999,Pittsburgh Steelers,Bill Cowher,White,Failed to make playoffs,6,10,0
2000,Pittsburgh Steelers,Bill Cowher,White,Failed to make playoffs,9,7,0
2003,Pittsburgh Steelers,Bill Cowher,White,Failed to make playoffs,6,10,0
2006,Pittsburgh Steelers,Bill Cowher,White,Failed to make playoffs,8,8,0
2009,Pittsburgh Steelers,Mike Tomlin,Non-White,Failed to make playoffs,9,7,0
2012,Pittsburgh Steelers,Mike Tomlin,Non-White,Failed to make playoffs,8,8,0
2013,Pittsburgh Steelers,Mike Tomlin,Non-White,Failed to make playoffs,8,8,0
2018,Pittsburgh Steelers,Mike Tomlin,Non-White,Failed to make playoffs,9,6,1
2019,Pittsburgh Steelers,Mike Tomlin,Non-White,Failed to make playoffs,8,8,0
1966,Oakland Raiders,John Rauch,White,Failed to make playoffs,8,5,1
1971,Oakland Raiders,John Madden,White,Failed to make playoffs,8,4,2
1978,Oakland Raiders,John Madden,White,Failed to make playoffs,9,7,0
1979,Oakland Raiders,Tom Flores,Non-White,Failed to make playoffs,9,7,0
1981,Oakland Raiders,Tom Flores,Non-White,Failed to make playoffs,7,9,0
1986,Oakland Raiders,Tom Flores,Non-White,Failed to make playoffs,8,8,0
1987,Oakland Raiders,Tom Flores,Non-White,Failed to make playoffs,5,10,0
1988,Oakland Raiders,Mike Shanahan,White,Failed to make playoffs,7,9,0
1989,Oakland Raiders,Mike Shanahan,White,Failed to make playoffs,8,8,0
1992,Oakland Raiders,Art Shell,Non-White,Failed to make playoffs,7,9,0
1994,Oakland Raiders,Art Shell,Non-White,Failed to make playoffs,9,7,0
1995,Oakland Raiders,Mike White,White,Failed to make playoffs,8,8,0
1996,Oakland Raiders,Mike White,White,Failed to make playoffs,7,9,0
1997,Oakland Raiders,Joe Bugel,White,Failed to make playoffs,4,12,0
1998,Oakland Raiders,Jon Gruden,White,Failed to make playoffs,8,8,0
1999,Oakland Raiders,Jon Gruden,White,Failed to make playoffs,8,8,0
2003,Oakland Raiders,Bill Callahan,White,Failed to make playoffs,4,12,0
2004,Oakland Raiders,Norv Turner,White,Failed to make playoffs,5,11,0
2005,Oakland Raiders,Norv Turner,White,Failed to make playoffs,4,12,0
2006,Oakland Raiders,Art Shell,Non-White,Failed to make playoffs,2,14,0
2007,Oakland Raiders,Lane Kiffin,White,Failed to make playoffs,4,12,0
2008,Oakland Raiders,Lane Kiffin,White,Failed to make playoffs,5,11,0
2009,Oakland Raiders,Tom Cable,White,Failed to make playoffs,5,11,0
2010,Oakland Raiders,Tom Cable,White,Failed to make playoffs,8,8,0
2011,Oakland Raiders,Hue Jackson,Non-White,Failed to make playoffs,8,8,0
2012,Oakland Raiders,Dennis Allen,White,Failed to make playoffs,4,12,0
2013,Oakland Raiders,Dennis Allen,White,Failed to make playoffs,4,12,0
2014,Oakland Raiders,Dennis Allen,White,Failed to make playoffs,3,13,0
2015,Oakland Raiders,Jack Del Rio,White,Failed to make playoffs,7,9,0
2017,Oakland Raiders,Jack Del Rio,White,Failed to make playoffs,6,10,0
2018,Oakland Raiders,Jon Gruden,White,Failed to make playoffs,4,12,0
2019,Oakland Raiders,Jon Gruden,White,Failed to make playoffs,7,9,0
1966,Los Angeles Rams,George Allen,White,Failed to make playoffs,8,6,0
1968,Los Angeles Rams,George Allen,White,Failed to make playoffs,10,3,1
1970,Los Angeles Rams,George Allen,White,Failed to make playoffs,9,4,1
1971,Los Angeles Rams,Tommy Prothro,White,Failed to make playoffs,8,5,1
1987,Los Angeles Rams,John Robinson,White,Failed to make playoffs,6,9,0
1990,Los Angeles Rams,John Robinson,White,Failed to make playoffs,5,11,0
1991,Los Angeles Rams,John Robinson,White,Failed to make playoffs,3,13,0
1992,Los Angeles Rams,Chuck Knox,White,Failed to make playoffs,6,10,0
1993,Los Angeles Rams,Chuck Knox,White,Failed to make playoffs,5,11,0
1994,Los Angeles Rams,Chuck Knox,White,Failed to make playoffs,4,12,0
1995,Los Angeles Rams,Rich Brooks,White,Failed to make playoffs,7,9,0
1996,Los Angeles Rams,Rich Brooks,White,Failed to make playoffs,6,10,0
1997,Los Angeles Rams,Dick Vermeil,White,Failed to make playoffs,5,11,0
1998,Los Angeles Rams,Dick Vermeil,White,Failed to make playoffs,4,12,0
2002,Los Angeles Rams,Mike Martz,White,Failed to make playoffs,7,9,0
2005,Los Angeles Rams,Mike Martz,White,Failed to make playoffs,6,10,0
2006,Los Angeles Rams,Scott Linehan,White,Failed to make playoffs,8,8,0
2007,Los Angeles Rams,Scott Linehan,White,Failed to make playoffs,3,13,0
2008,Los Angeles Rams,Scott Linehan,White,Failed to make playoffs,2,14,0
2009,Los Angeles Rams,Steve Spagnuolo,White,Failed to make playoffs,1,15,0
2010,Los Angeles Rams,Steve Spagnuolo,White,Failed to make playoffs,7,9,0
2011,Los Angeles Rams,Steve Spagnuolo,White,Failed to make playoffs,2,14,0
2012,Los Angeles Rams,Jeff Fisher,White,Failed to make playoffs,7,8,1
2013,Los Angeles Rams,Jeff Fisher,White,Failed to make playoffs,7,9,0
2014,Los Angeles Rams,Jeff Fisher,White,Failed to make playoffs,6,10,0
2015,Los Angeles Rams,Jeff Fisher,White,Failed to make playoffs,7,9,0
2016,Los Angeles Rams,John Fassel,White,Failed to make playoffs,4,12,0
2019,Los Angeles Rams,Sean McVay,White,Failed to make playoffs,9,7,0
1966,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1967,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1968,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1969,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1970,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1971,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1972,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1973,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1974,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1975,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1976,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1977,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1978,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1979,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1980,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1981,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1982,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1983,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1984,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1985,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1986,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1987,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1988,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1989,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1990,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1991,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1992,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1993,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1994,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1995,Baltimore Ravens,NFL Coaches,White,Failed to make playoffs,,,
1996,Baltimore Ravens,Ted Marchibroda,White,Failed to make playoffs,4,12,0
1997,Baltimore Ravens,Ted Marchibroda,White,Failed to make playoffs,6,9,1
1998,Baltimore Ravens,Ted Marchibroda,White,Failed to make playoffs,6,10,0
1999,Baltimore Ravens,Brian Billick,White,Failed to make playoffs,8,8,0
2002,Baltimore Ravens,Brian Billick,White,Failed to make playoffs,7,9,0
2004,Baltimore Ravens,Brian Billick,White,Failed to make playoffs,9,7,0
2005,Baltimore Ravens,Brian Billick,White,Failed to make playoffs,6,10,0
2007,Baltimore Ravens,Brian Billick,White,Failed to make playoffs,5,11,0
2013,Baltimore Ravens,John Harbaugh,White,Failed to make playoffs,8,8,0
2015,Baltimore Ravens,John Harbaugh,White,Failed to make playoffs,5,11,0
2016,Baltimore Ravens,John Harbaugh,White,Failed to make playoffs,8,8,0
2017,Baltimore Ravens,John Harbaugh,White,Failed to make playoffs,9,7,0
1966,Los Angeles Chargers,Sid Gillman,White,Failed to make playoffs,7,6,1
1967,Los Angeles Chargers,Sid Gillman,White,Failed to make playoffs,8,5,1
1968,Los Angeles Chargers,Sid Gillman,White,Failed to make playoffs,9,5,0
1969,Los Angeles Chargers,Sid Gillman,White,Failed to make playoffs,8,6,0
1970,Los Angeles Chargers,Charlie Waller,White,Failed to make playoffs,5,6,3
1971,Los Angeles Chargers,Harland Svare,White,Failed to make playoffs,6,8,0
1972,Los Angeles Chargers,Harland Svare,White,Failed to make playoffs,4,9,1
1973,Los Angeles Chargers,Harland Svare,White,Failed to make playoffs,2,11,1
1974,Los Angeles Chargers,Tommy Prothro,White,Failed to make playoffs,5,9,0
1975,Los Angeles Chargers,Tommy Prothro,White,Failed to make playoffs,2,12,0
1976,Los Angeles Chargers,Tommy Prothro,White,Failed to make playoffs,6,8,0
1977,Los Angeles Chargers,Tommy Prothro,White,Failed to make playoffs,7,7,0
1978,Los Angeles Chargers,Tommy Prothro,White,Failed to make playoffs,9,7,0
1983,Los Angeles Chargers,Don Coryell,White,Failed to make playoffs,6,10,0
1984,Los Angeles Chargers,Don Coryell,White,Failed to make playoffs,7,9,0
1985,Los Angeles Chargers,Don Coryell,White,Failed to make playoffs,8,8,0
1986,Los Angeles Chargers,Don Coryell,White,Failed to make playoffs,4,12,0
1987,Los Angeles Chargers,Al Saunders,White,Failed to make playoffs,8,7,0
1988,Los Angeles Chargers,Al Saunders,White,Failed to make playoffs,6,10,0
1989,Los Angeles Chargers,Dan Henning,White,Failed to make playoffs,6,10,0
1990,Los Angeles Chargers,Dan Henning,White,Failed to make playoffs,6,10,0
1991,Los Angeles Chargers,Dan Henning,White,Failed to make playoffs,4,12,0
1993,Los Angeles Chargers,Bobby Ross,White,Failed to make playoffs,8,8,0
1996,Los Angeles Chargers,Bobby Ross,White,Failed to make playoffs,8,8,0
1997,Los Angeles Chargers,Kevin Gilbride,White,Failed to make playoffs,4,12,0
1998,Los Angeles Chargers,Kevin Gilbride,White,Failed to make playoffs,5,11,0
1999,Los Angeles Chargers,Mike Riley,White,Failed to make playoffs,8,8,0
2000,Los Angeles Chargers,Mike Riley,White,Failed to make playoffs,1,15,0
2001,Los Angeles Chargers,Mike Riley,White,Failed to make playoffs,5,11,0
2002,Los Angeles Chargers,Marty Schottenheimer,White,Failed to make playoffs,8,8,0
2003,Los Angeles Chargers,Marty Schottenheimer,White,Failed to make playoffs,4,12,0
2005,Los Angeles Chargers,Marty Schottenheimer,White,Failed to make playoffs,9,7,0
2010,Los Angeles Chargers,Norv Turner,White,Failed to make playoffs,9,7,0
2011,Los Angeles Chargers,Norv Turner,White,Failed to make playoffs,8,8,0
2012,Los Angeles Chargers,Norv Turner,White,Failed to make playoffs,7,9,0
2014,Los Angeles Chargers,Mike McCoy,White,Failed to make playoffs,9,7,0
2015,Los Angeles Chargers,Mike McCoy,White,Failed to make playoffs,4,12,0
2016,Los Angeles Chargers,Mike McCoy,White,Failed to make playoffs,5,11,0
2017,Los Angeles Chargers,Anthony Lynn,Non-White,Failed to make playoffs,9,7,0
2019,Los Angeles Chargers,Anthony Lynn,Non-White,Failed to make playoffs,5,11,0
1966,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1967,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1968,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1969,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1970,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1971,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1972,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1973,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1974,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1975,Seattle Seahawks,NFL Coaches,White,Failed to make playoffs,,,
1976,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,2,12,0
1977,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,5,9,0
1978,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,9,7,0
1979,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,9,7,0
1980,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,4,12,0
1981,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,6,10,0
1982,Seattle Seahawks,Jack Patera,White,Failed to make playoffs,4,5,0
1985,Seattle Seahawks,Chuck Knox,White,Failed to make playoffs,8,8,0
1986,Seattle Seahawks,Chuck Knox,White,Failed to make playoffs,10,6,0
1989,Seattle Seahawks,Chuck Knox,White,Failed to make playoffs,7,9,0
1990,Seattle Seahawks,Chuck Knox,White,Failed to make playoffs,9,7,0
1991,Seattle Seahawks,Chuck Knox,White,Failed to make playoffs,7,9,0
1992,Seattle Seahawks,Tom Flores,Non-White,Failed to make playoffs,2,14,0
1993,Seattle Seahawks,Tom Flores,Non-White,Failed to make playoffs,6,10,0
1994,Seattle Seahawks,Tom Flores,Non-White,Failed to make playoffs,6,10,0
1995,Seattle Seahawks,Dennis Erickson,White,Failed to make playoffs,8,8,0
1996,Seattle Seahawks,Dennis Erickson,White,Failed to make playoffs,7,9,0
1997,Seattle Seahawks,Dennis Erickson,White,Failed to make playoffs,8,8,0
1998,Seattle Seahawks,Dennis Erickson,White,Failed to make playoffs,8,8,0
2000,Seattle Seahawks,Mike Holmgren,White,Failed to make playoffs,6,10,0
2001,Seattle Seahawks,Mike Holmgren,White,Failed to make playoffs,9,7,0
2002,Seattle Seahawks,Mike Holmgren,White,Failed to make playoffs,7,9,0
2008,Seattle Seahawks,Mike Holmgren,White,Failed to make playoffs,4,12,0
2009,Seattle Seahawks,Jim Mora,White,Failed to make playoffs,5,11,0
2011,Seattle Seahawks,Pete Carroll,White,Failed to make playoffs,7,9,0
2017,Seattle Seahawks,Pete Carroll,White,Failed to make playoffs,9,7,0
1966,San Francisco 49ers,Jack Christiansen,White,Failed to make playoffs,6,6,2
1967,San Francisco 49ers,Jack Christiansen,White,Failed to make playoffs,7,7,0
1968,San Francisco 49ers,Dick Nolan,White,Failed to make playoffs,7,6,1
1969,San Francisco 49ers,Dick Nolan,White,Failed to make playoffs,4,8,2
1973,San Francisco 49ers,Dick Nolan,White,Failed to make playoffs,5,9,0
1974,San Francisco 49ers,Dick Nolan,White,Failed to make playoffs,6,8,0
1975,San Francisco 49ers,Dick Nolan,White,Failed to make playoffs,5,9,0
1976,San Francisco 49ers,Monte Clark,White,Failed to make playoffs,8,6,0
1977,San Francisco 49ers,Ken Meyer,White,Failed to make playoffs,5,9,0
1978,San Francisco 49ers,Pete McCulley,White,Failed to make playoffs,2,14,0
1979,San Francisco 49ers,Bill Walsh,White,Failed to make playoffs,2,14,0
1980,San Francisco 49ers,Bill Walsh,White,Failed to make playoffs,6,10,0
1982,San Francisco 49ers,Bill Walsh,White,Failed to make playoffs,3,6,0
1991,San Francisco 49ers,George Seifert,White,Failed to make playoffs,10,6,0
1999,San Francisco 49ers,Steve Mariucci,White,Failed to make playoffs,4,12,0
2000,San Francisco 49ers,Steve Mariucci,White,Failed to make playoffs,6,10,0
2003,San Francisco 49ers,Dennis Erickson,White,Failed to make playoffs,7,9,0
2004,San Francisco 49ers,Dennis Erickson,White,Failed to make playoffs,2,14,0
2005,San Francisco 49ers,Mike Nolan,White,Failed to make playoffs,4,12,0
2006,San Francisco 49ers,Mike Nolan,White,Failed to make playoffs,7,9,0
2007,San Francisco 49ers,Mike Nolan,White,Failed to make playoffs,5,11,0
2008,San Francisco 49ers,Mike Nolan,White,Failed to make playoffs,7,9,0
2009,San Francisco 49ers,Mike Singletary,Non-White,Failed to make playoffs,8,8,0
2010,San Francisco 49ers,Jim Tomsula,White,Failed to make playoffs,6,10,0
2014,San Francisco 49ers,Jim Harbaugh,White,Failed to make playoffs,8,8,0
2015,San Francisco 49ers,Jim Tomsula,White,Failed to make playoffs,5,11,0
2016,San Francisco 49ers,Chip Kelly,White,Failed to make playoffs,2,14,0
2017,San Francisco 49ers,Kyle Shanahan,White,Failed to make playoffs,6,10,0
2018,San Francisco 49ers,Kyle Shanahan,White,Failed to make playoffs,4,12,0
1966,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1967,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1968,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1969,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1970,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1971,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1972,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1973,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
1974,Tampa Bay Buccaneers,NFL Coaches,White,Failed to make playoffs,,,
